[2022/4/16 - 17:30:44] [-] Natalia_Alvarez perdió -1$, razón: [aceptar licencia]
[2023/1/6 - 19:49:41] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:49:57] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/15 - 19:34:30] [+] Caroline_Dhaves recibió 120$, razón: [payday]
[2023/1/15 - 19:52:23] [+] Caroline_Dhaves recibió 120$, razón: [payday]
[2023/1/15 - 19:52:59] [+] Caroline_Dhaves recibió 120$, razón: [payday]
[2023/1/15 - 20:7:21] [+] Caroline_Dhaves recibió 120$, razón: [payday]
[2023/1/16 - 17:5:3] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/16 - 18:13:33] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/16 - 19:22:7] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/16 - 20:30:38] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/16 - 21:39:10] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/16 - 22:47:36] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/18 - 2:41:38] [+] Caroline_Dhaves recibió 500,000$, razón: [dardinero (admin)]
[2023/1/18 - 2:41:44] [-] Caroline_Dhaves perdió -290,635$, razón: [compra de negocio]
[2023/1/19 - 4:41:50] [+] Caroline_Dhaves recibió 10$, razón: [payday]
[2023/1/22 - 16:54:36] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 1:48:34] [-] Caroline_Dhaves perdió -50$, razón: [anuncio]
[2023/1/26 - 2:4:41] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 2:38:3] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 2:39:32] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 2:46:19] [-] Caroline_Dhaves perdió -50$, razón: [anuncio]
[2023/1/26 - 3:56:55] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 3:57:0] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 3:57:4] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 3:57:7] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 3:57:10] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 4:1:19] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 4:1:30] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 4:8:23] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 4:8:27] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 4:8:30] [-] Caroline_Dhaves perdió -35$, razón: [compra de skin]
[2023/1/26 - 4:11:51] [-] Caroline_Dhaves perdió -200$, razón: [anuncio]
[2023/1/27 - 1:31:58] [-] Caroline_Dhaves perdió -50$, razón: [anuncio]
[2023/1/27 - 1:38:1] [-] Penesito_Juan perdió -200$, razón: [anuncio]
